PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB563299,2008-08-02:05:55:41,0,NV-A,C0,13.36,3573,51718,38760,3호기,1,1169,156,1134,210,342,872,1,10,2조,15.700105553102583
PB563300,2008-08-02:05:55:17,0,BV-A,C0,13.36,3276,43542,44880,3호기,2,1163,133,1135,231,360,879,1,10,2조,23.55017417905284
PB563301,2008-08-02:05:55:51,0,LR-A,C0,13.06,3266,41901,14030,1호기,1,1166,121,1136,238,360,902,1,10,4조,7.8500771652032775
PB563302,2008-08-02:06:60:18,0,KR-A,C0,12.55,3391,43403,14500,1호기,2,1165,115,1139,242,360,904,1,10,1조,7.850127993344408
PB563303,2008-08-02:06:60:22,0,NV-A,C0,12.05,3382,48388,15480,2호기,1,1159,141,1136,212,342,893,1,10,1조,7.850053818518646
PB563304,2008-08-02:06:60:18,0,NV-A,C0,12.05,3375,52090,33260,2호기,2,1167,147,1137,218,342,887,1,10,1조,15.700267912963941
PB563305,2008-08-02:06:60:22,0,NV-A,C0,12.56,3210,42686,13510,3호기,1,1160,153,1138,212,342,906,1,10,4조,7.8501005069925185
PB563306,2008-08-02:06:61:23,0,AB/A,C0,12.56,3036,43729,39270,3호기,2,1160,115,1139,246,342,932,1,10,1조,23.550490056329224
PB563307,2008-08-02:06:61:04,0,LR-A,C0,12.56,3151,43324,13460,1호기,1,1157,133,1140,230,342,929,1,10,3조,7.8501593064998545
PB563308,2008-08-02:06:61:21,0,LR-A,C0,12.55,3151,43359,13460,1호기,2,1161,128,1144,230,342,935,1,10,2조,7.85007260433151
PB563309,2008-08-02:06:61:39,1,NV-A,C0,12.05,3161,43778,26180,2호기,1,1154,148,1143,211,342,924,0,10,3조,15.700091466088212
PB563310,2008-08-02:06:62:07,0,KR-A,C0,12.56,3101,43663,13350,2호기,2,1158,134,1143,229,342,931,1,10,1조,7.850119865186666
PB563311,2008-08-02:06:62:46,0,NV-A,C0,13.06,2895,52695,46920,3호기,1,1154,158,1144,202,342,926,1,10,3조,23.550322002430935
PB563312,2008-08-02:06:62:08,0,LR-A,C0,13.06,2915,52501,15690,3호기,2,1157,158,1147,201,342,924,1,10,4조,7.850071853316212
PB563313,2008-08-02:06:62:32,0,GL-A,C0,13.06,2895,51819,15380,1호기,1,1157,137,1146,226,342,924,1,10,1조,7.8501067529764805
